bike_number,accumulated_hours_past,total_trips_past,bike_model
52586,74.0021886111111,259.0,CLASSIC
52587,91.13113916666666,390.0,CLASSIC
52588,48.24284416666667,163.0,CLASSIC
52590,60.871341388888894,217.0,CLASSIC
52591,153.24680777777775,439.0,CLASSIC
52592,89.736915,360.0,CLASSIC
52593,72.87579277777779,298.0,CLASSIC
52594,98.2757025,438.0,CLASSIC
52596,85.06627416666667,306.0,CLASSIC
52597,38.82842166666666,162.0,CLASSIC
52598,43.254286944444445,165.0,CLASSIC
52599,54.84397194444445,127.0,CLASSIC
52601,92.33983805555556,318.0,CLASSIC
52602,78.28813416666667,298.0,CLASSIC
52604,83.6065313888889,328.0,CLASSIC
52605,56.83567861111112,229.0,CLASSIC
52607,105.9172625,342.0,CLASSIC
52608,92.768395,354.0,CLASSIC
52610,35.05029611111112,143.0,CLASSIC
52611,75.89400555555555,287.0,CLASSIC
52612,74.3897013888889,257.0,CLASSIC
52613,62.636134722222224,230.0,CLASSIC
52614,74.56873916666666,272.0,CLASSIC
52615,75.56831194444445,306.0,CLASSIC
52616,71.57426416666667,259.0,CLASSIC
52617,67.54024416666667,263.0,CLASSIC
52618,68.09552083333334,300.0,CLASSIC
52620,42.32632722222223,196.0,CLASSIC
52621,71.9467338888889,240.0,CLASSIC
52622,84.57421333333333,334.0,CLASSIC
52624,77.55570111111112,276.0,CLASSIC
52625,25.162544722222226,99.0,CLASSIC
52626,45.19704916666666,173.0,CLASSIC
52627,103.81838055555558,418.0,CLASSIC
52628,97.3784011111111,395.0,CLASSIC
52629,57.73787833333334,256.0,CLASSIC
52631,72.66631194444446,300.0,CLASSIC
52632,92.27204027777776,367.0,CLASSIC
52633,47.89610750000001,181.0,CLASSIC
52634,85.01200388888888,366.0,CLASSIC
52635,63.000211944444445,251.0,CLASSIC
52637,48.37150555555556,197.0,CLASSIC
52638,80.75743777777778,302.0,CLASSIC
52639,59.8034013888889,249.0,CLASSIC
52640,86.2290075,304.0,CLASSIC
52641,99.81541305555557,205.0,CLASSIC
52642,123.0238536111111,389.0,CLASSIC
52643,69.22331555555556,280.0,CLASSIC
52644,75.79893083333334,313.0,CLASSIC
52645,14.372456944444446,52.0,CLASSIC
52646,97.00982777777776,365.0,CLASSIC
52648,95.18250555555557,383.0,CLASSIC
52649,24.67498777777778,104.0,CLASSIC
52650,89.74406194444444,310.0,CLASSIC
52652,59.95360083333333,217.0,CLASSIC
52653,63.65112194444445,263.0,CLASSIC
52654,99.28637722222224,344.0,CLASSIC
52655,34.956579166666664,130.0,CLASSIC
52657,71.46015277777778,280.0,CLASSIC
52658,94.69855361111112,362.0,CLASSIC
52659,42.54104277777779,153.0,CLASSIC
52660,120.96788666666669,417.0,CLASSIC
52661,43.641054722222215,169.0,CLASSIC
52663,79.52739,277.0,CLASSIC
52664,70.65568166666667,287.0,CLASSIC
52665,32.77862916666667,130.0,CLASSIC
52666,71.250085,250.0,CLASSIC
52668,49.55878999999999,187.0,CLASSIC
52669,75.503705,310.0,CLASSIC
52670,80.85857777777777,291.0,CLASSIC
52672,23.387573611111115,101.0,CLASSIC
52673,69.3946977777778,289.0,CLASSIC
52674,104.08258666666669,379.0,CLASSIC
52675,77.2638525,267.0,CLASSIC
52676,33.518037777777785,145.0,CLASSIC
52680,18.35161611111111,66.0,CLASSIC
52681,43.8565763888889,170.0,CLASSIC
52682,15.706723333333336,72.0,CLASSIC
52684,93.621515,383.0,CLASSIC
52685,42.623983888888894,168.0,CLASSIC
52687,27.256726666666665,96.0,CLASSIC
52688,29.216501388888886,121.0,CLASSIC
52689,105.20906333333332,412.0,CLASSIC
52690,74.12740111111111,291.0,CLASSIC
52691,79.79783583333334,295.0,CLASSIC
52692,48.68882000000001,182.0,CLASSIC
52693,74.22256472222222,251.0,CLASSIC
52695,53.606249166666665,230.0,CLASSIC
52696,56.84302,204.0,CLASSIC
52697,65.487825,205.0,CLASSIC
52698,76.52440583333333,330.0,CLASSIC
52699,79.23424527777777,310.0,CLASSIC
52700,103.86215416666668,343.0,CLASSIC
52702,48.51859361111112,200.0,CLASSIC
