bike_number,bike_model,accumulated_hours_past,total_trips_past
11806,CLASSIC,3.127276944444444,7
11807,CLASSIC,25.92170888888889,26
11814,CLASSIC,5.973521666666667,24
11825,CLASSIC,5.357949444444444,16
11830,CLASSIC,7.222205555555555,31
11833,CLASSIC,7.871083055555555,33
11842,CLASSIC,12.816393055555555,60
11868,CLASSIC,10.513516388888888,44
11873,CLASSIC,4.212076111111111,20
11886,CLASSIC,13.395589166666667,60
11901,CLASSIC,2.277070277777778,13
11906,CLASSIC,0.5293141666666666,4
11907,CLASSIC,5.626829444444445,30
11911,CLASSIC,9.909763333333332,47
11921,CLASSIC,4.452868888888889,19
11945,CLASSIC,17.975817777777777,43
11950,CLASSIC,3.5492725,17
11951,CLASSIC,1.8225061111111112,8
11954,CLASSIC,2.886116388888889,17
11960,CLASSIC,14.019483055555556,41
11974,CLASSIC,13.519200833333334,49
12050,CLASSIC,6.437021944444444,20
12062,CLASSIC,6.718079166666667,22
12070,CLASSIC,10.276177222222222,49
12086,CLASSIC,7.170988888888889,31
12087,CLASSIC,3.1438486111111112,10
12092,CLASSIC,3.1348933333333333,12
12104,CLASSIC,11.565293611111112,15
12105,CLASSIC,7.974615,37
12110,CLASSIC,0.3320916666666667,3
12138,CLASSIC,11.200921666666666,32
12143,CLASSIC,3.193970277777778,13
12150,CLASSIC,8.092788888888888,28
12156,CLASSIC,1.536875,6
12176,CLASSIC,8.178019722222222,26
12178,CLASSIC,24.042818611111112,35
12179,CLASSIC,31.192853333333336,36
12180,CLASSIC,5.678961944444445,22
12188,CLASSIC,4.988046111111111,29
12195,CLASSIC,9.913855277777778,43
12237,CLASSIC,8.238704166666666,35
12251,CLASSIC,10.9186775,50
12288,CLASSIC,8.594770833333333,23
12291,CLASSIC,8.208629722222222,37
12304,CLASSIC,1.2415005555555556,7
12309,CLASSIC,8.065324444444444,35
12310,CLASSIC,8.582568055555555,37
12314,CLASSIC,4.148678055555556,20
12320,CLASSIC,1.3568469444444444,6
12324,CLASSIC,6.585743611111111,19
12346,CLASSIC,10.722113055555555,30
12354,CLASSIC,8.418840833333332,36
12371,CLASSIC,4.7334775,16
12375,CLASSIC,11.708820555555556,44
12378,CLASSIC,6.5734852777777775,23
12388,CLASSIC,6.988285833333333,30
12391,CLASSIC,8.6281875,39
12421,CLASSIC,11.369235555555555,49
12422,CLASSIC,9.251511666666667,43
12442,CLASSIC,2.3617675,8
